"Metier","J.aime.faire.des.experiences","J.aime.organiser..gerer","Je.suis.branche.high.tech","Enqueter..analyser.l.information..je.veux.en.faire.mon.travail","J.ai.le.sens.du.contact","J.aimerais.informer..communiquer","J.aime.bouger","J.aime.la.nature","Je.reve.d.un.metier.artistique","J.ai.la.bosse.du.commerce","J.aime.jongler.avec.les.chiffres","Je.veux.etre.aux.commandes","Je.veux.proteger.la.planete","Je.veux.travailler.de.mes.mains","Reparer..bricoler..j.adore.ca","J.aimerais.travailler.dehors","J.aime.les.sensations.fortes","Je.veux.etre.utile.aux.autres","Je.veux.faire.respecter.la.loi","Je.veux.m.occuper.d.animaux","Ma.vocation.est.de.soigner","Je.reve.de.travailler.a.l.etranger","Je.suis.fort.en.langues","J.aime.le.contact.avec.les.enfants","Le.sport.est.ma.passion","Chimie...Plasturgie...Industrie.pharmaceutique","Environnement","Fonction.publique","Commerce...Distribution","Communication...Publicite","Agriculture","Audit...Conseil...Ressources.humaines","Banque...Assurances....Immobilier","Architecture...BTP","Presse...Edition...imprimerie","Automobile","Construction.navale..ferroviaire.et.aeronautique","Electronique...Electrotechnique","Maintenance...Entretien","Telecommunications","Transport...Logistique","Mecanique...Metallurgie","Recherche","Culture...Patrimoine...Artisanat.d.art","Sport...Loisirs...Tourisme","Armee...Securite","Arts.du.spectacle...Audiovisuel","Sante...Social...Bien.etre","Agro.alimentaire","Energies.et.extraction","Enseignement...Formations","Hotellerie...Restauration","Informatique","Droit...Justice","Mode.et.industrie.textile","Bois...Meubles...Papier...Carton","Verre...Beton...Ceramique","bac...5","CAP.ou.equivalent","bac...3","bac...2","bac.ou.equivalent","bac...8","bac...4","sans.diplome","diplome.national.du.brevet","bac...6","bac...9.et.plus","X3e","bac...7","Statut.salarie","Statut.artisan","Statut.fonctionnaire","Liberal","Independant","Militaire","Intermittent.du.spectacle","Saisonnier","Contrat.de.volontariat","Salaire.debutant","diplome","diplome_num","X1","X2","km_cluster","cut_ward","cut_complete","jobs_id","ap_clusters","Y1","Y2"
"façadier / façadière",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,23.5465729142045,20.9561395858137,3,16,1,204,2,8.18679762072861,20.1493750158697
"façonnier / façonnière des industries graphiques",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1466,"CAP.ou.equivalent",3,33.8205236623821,15.5267356034676,23,12,7,205,2,10.4316100664437,20.6666398290545
"ferronnier / ferronnière d'art",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,37.2796174610911,20.6848639829223,13,1,7,206,2,12.3298661056906,18.7159913778305
"fleuriste",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,34.0549802767723,27.7871910402104,7,1,17,208,2,9.35393995977938,23.1639871578664
"grutier / grutière",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,22.0608438066836,20.7249135016438,3,16,10,240,2,7.7806158401072,23.7939026169479
"horloger / horlogère",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,36.8147560326787,18.0620242664605,26,23,7,245,2,7.25779915042222,23.109714070335
"maroquinier / maroquinière",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,38.7651291370826,23.4838531813361,13,33,25,364,2,7.5357934422791,22.8996431641281
"maçon / maçonne",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,26.6052740571601,20.6389231669591,3,16,1,368,2,13.4994270782918,20.3963399790227
"mécanicien-réparateur / mécanicienne-réparatrice en matériel agricole",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,29.4408035657639,21.0530756091339,26,13,1,375,2,7.05119561590254,23.5717959124595
"menuisier / menuisière",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,32.5974967977374,20.4353064593198,13,1,7,383,2,12.5325342193246,20.8852413929999
"modéliste",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"bac.ou.equivalent",4,41.2180750639108,22.3535614486132,13,33,25,391,2,12.2903972119093,21.6408784780651
"modiste",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,39.4043444759617,24.7784485486619,24,1,25,392,2,11.6205598898232,16.2901789974421
"monteur / monteuse en installations thermiques et climatiques",0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,30.0668091477742,19.1062609319699,26,13,1,396,2,8.54479196481407,20.934698285535
"orfèvre",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,37.3931389391967,22.9191572131103,13,33,25,418,2,9.01059607602656,18.4405466858298
"orthoprothésiste",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,36.9110731285042,34.3409730844973,39,19,34,420,2,12.1462783068419,21.9550870638341
"peintre en bâtiment",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,26.9053778632447,22.0639089559031,3,16,1,433,2,10.7103342935443,22.6005285736173
"plombier / plombière",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1500,"CAP.ou.equivalent",3,28.2130259745371,20.9333237009196,26,13,1,441,2,7.74522879905999,17.1748406291008
"plâtrier / plâtrière",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,25.2421799033544,22.2927583037708,3,16,1,442,2,7.06871048919857,20.5391796417534
"podo-orthésiste",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,36.9110713665638,34.3409728435032,39,19,34,443,2,7.30784208700061,20.7529839295894
"pâtissier / pâtissière",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,31.3640903086636,30.0108000112572,7,1,25,461,2,7.73552819900215,16.4088206030428
"relieur-doreur / relieuse-doreuse",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,37.3101032260658,27.1351037945758,24,1,25,472,2,8.6356333065778,22.9511791300029
"restaurateur / restauratrice d'oeuvres d'art",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1615,"bac...5",9,38.96944386616,27.3283531510584,13,33,25,503,2,10.7593975458294,16.7673213947564
"sellier / sellière",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,39.1986489740316,19.6534575546904,26,10,7,517,2,13.1594800446182,22.638750385493
"sérigraphe",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1400,"CAP.ou.equivalent",3,41.2915942288801,25.718347216734,5,27,17,518,2,13.2165799867362,16.5235235225409
"serrurier-métallier / serrurière-métallière",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,31.7410213841072,19.3387992294888,26,23,7,519,2,13.2487556617707,20.7573992572725
"solier-moquettiste / solière-moquettiste",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,26.6374142787654,22.6502547983614,3,16,1,522,2,6.30740562453866,16.3202135954052
"soudeur / soudeuse",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,25.3440670901907,18.1411338294131,26,13,1,523,2,12.9019486550242,22.2059264872223
"souffleur / souffleuse de verre",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,35.8574085735142,21.2670955900464,13,33,25,524,2,9.91000539623201,20.0815151371062
"staffeur-ornemaniste / staffeuse-ornemaniste",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1500,"CAP.ou.equivalent",3,34.595155232137,22.7911611752732,13,33,25,531,2,10.9766166377813,20.420426517725
"tailleur / tailleuse de pierre",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,33.3566136599888,21.7446814069701,13,33,25,540,2,9.91306753829122,16.0076288226992
"tailleur-couturier / tailleuse-couturière",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,39.6372661338706,23.2096339827958,13,33,25,541,2,6.93180579692125,22.2538680993021
"tapissier / tapissière d'ameublement",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,35.1014137498656,25.5179015345631,24,1,25,542,2,9.47907115146518,19.9859497249126
"verrier / verrière au chalumeau",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1466,"CAP.ou.equivalent",3,34.8045591662864,19.822152827588,26,10,7,584,2,9.91896649822593,22.7623917385936
"vitrailliste",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1705,"CAP.ou.equivalent",3,37.4002379697101,25.3764734099913,24,1,25,588,2,10.7414009589702,23.6497062258422
"actuaire",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3200,"bac...5",9,-3.65729235907955,3.56665360426888,21,4,4,5,3,11.465617030859,29.7558181248605
"administrateur / administratrice de biens",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2000,"bac...2",6,-1.93421139938669,10.7738298579758,21,4,4,8,3,13.3561392519623,26.944132912904
"agent / agente de développement touristique",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1466,"bac...5",9,-1.57939070680635,-8.09290855258785,33,2,5,20,3,6.35757189616561,29.2704290412366
"analyste de crédit",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2083,"bac...5",9,-5.2170217601307,3.66203189158689,31,25,16,36,3,6.83483311906457,30.5573185030371
"analyste financier / financière",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2500,"bac...5",9,-6.17233196345941,3.13256146425753,31,25,16,37,3,9.08827754482627,33.1793550755829
"architecte",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2016,"bac...5",9,-9.36495312756498,12.4186403516599,5,1,17,53,3,11.7371272463351,32.1308082342148
"architecte d'intérieur",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1500,"bac...2",6,-8.66526267661732,12.7067103580545,5,1,17,54,3,6.79601539671421,31.4492977969348
"architecte des systèmes d'information",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3500,"bac...5",9,-7.14871587292228,-4.48261918961505,29,25,8,55,3,13.0018276423216,33.8355197422206
"architecte naval / navale",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2000,"bac...5",9,-10.5475050062395,12.0595481603885,5,27,17,56,3,10.2578201312572,29.0824748296291
"attaché / attachée de presse",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1600,"bac...4",8,3.67974857999137,-2.15616912869795,6,28,5,72,3,7.71720136702061,26.5709842126817
"auditeur / auditrice externe",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2900,"bac...5",9,-8.51471090267028,-1.65106030936988,31,25,24,77,3,6.40413785539567,29.9334508031607
"auditeur / auditrice interne",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3000,"bac...5",9,-8.0090732193288,-1.73932321544511,31,25,24,78,3,12.3414042405784,29.7617102731019
"auditeur / auditrice qualité",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2700,"bac...5",9,-7.2137411166237,-2.6261390007139,29,25,2,79,3,8.5823253877461,27.2663926426321
"chargé / chargée d'études économiques",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2000,"bac...5",9,-8.64341316541427,3.04408396557785,31,25,16,112,3,12.0067178737372,29.6344911735505
"chargé / chargée d'études en marketing",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2083,"bac...5",9,1.74103305954724,2.18635628755497,31,25,3,113,3,9.61716652289033,30.9699348583817
"chargé / chargée d'études média",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1900,"bac...5",9,-1.19054678032452,0.804688395857459,21,4,4,115,3,10.2240115683526,28.0688748341054
"chargé / chargée d'études ressources humaines",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2400,"bac...5",9,-3.76566379509217,-3.76123974940885,16,9,4,117,3,9.99352597072721,28.2635595295578
"chargé / chargée de clientèle banque",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,"bac...2",6,0.117390123162055,9.24332364202059,1,5,3,118,3,11.3854569122195,29.1180048603565
"chargé / chargée de communication interne",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,"bac...4",8,3.12928737568931,-3.44645450055962,6,28,5,119,3,12.9077829271555,32.7529406920075
"chargé / chargée de projet événementiel",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2200,"bac...4",8,2.34473906826454,-3.32838088362614,38,14,5,122,3,11.0705337040126,27.2034718617797
"chargé / chargée des relations publiques",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1900,"bac...4",8,3.12956347877921,-3.43954487092593,6,28,5,129,3,7.19945312477648,29.8030547108501
"data manager",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000,"bac...5",9,-4.11984625339034,1.1865148262381,21,4,4,132,3,11.7837119270116,27.8694363478571
