,intitule,code_rome,score,X1,X2,cluster,Métier_onisep_1,Métier_onisep_2,Métier_onisep_3,Métier_onisep_4,Métier_onisep_5,Métier_onisep_6,Métier_onisep_7,Métier_onisep_8,Métier_onisep_9,Métier_onisep_10,Métier_onisep_11,Métier_onisep_12,Métier_onisep_13,Métier_onisep_14,Métier_onisep_15,Métier_onisep_16,Métier_onisep_17,Métier_onisep_18,Métier_onisep_19,Métier_onisep_20,Métier_onisep_21,Métier_onisep_22,Métier_onisep_23,Métier_onisep_24,Métier_onisep_25,Métier_onisep_26,Métier_onisep_27,Métier_onisep_28,Métier_onisep_29,Métier_onisep_30,Métier_onisep_31,Métier_onisep_32,Métier_onisep_33,Métier_onisep_34,Métier_onisep_35,Métier_onisep_36,Métier_onisep_37,Métier_onisep_38,Métier_onisep_39,Métier_onisep_40,Métier_onisep_41,Métier_onisep_42,Métier_onisep_43,Métier_onisep_44,Métier_onisep_45,Métier_onisep_46,Métier_onisep_47,Métier_onisep_48
298,Direction et ingénierie en entretien infrastructure et bâti,I1101,-0.15162161383751402,41.2794836536467,15.144802159887302,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Conduite de traitement thermique,H3403,-0.15162161383751402,-8.97000391828252,-51.22646505111629,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Ostéopathie et chiropraxie,J1408,-0.15162161383751402,-42.5757689513936,50.546065343131396,83,ostéopathe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Conduite de traitement par dépôt de surface,H3402,-0.15162161383751402,-6.050793286268799,-41.5719886229143,74,opérateur et technicien / opératrice et technicienne en traitement des matériaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Conduite de traitement d'abrasion de surface,H3401,-0.15162161383751402,-8.22555223951796,-39.7662067162236,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"Préparation de matières et produits industriels (broyage, mélange, ...)",H3303,-0.15162161383751402,-20.929470628129398,-55.0063736858964,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,"Opérations manuelles d'assemblage, tri ou emballage",H3302,-0.15162161383751402,-24.7019506353817,-17.262377094321998,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Conduite d'équipement de conditionnement,H3301,-0.15162161383751402,-23.7622636524613,-19.5609147446298,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Fabrication de pièces en matériaux composites,H3203,-0.15162161383751402,-51.032591188928606,-32.711518096416505,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Réglage d'équipement de formage des plastiques et caoutchoucs,H3202,-0.15162161383751402,-9.41808397297222,-57.31897455567161,76,régleur / régleuse,technicien / technicienne plasturgiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Conduite d'équipement de formage des plastiques et caoutchoucs,H3201,-0.15162161383751402,-11.3757137739356,-62.464870190058605,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Conduite d'installation de pâte à papier,H3102,-0.15162161383751402,3.2924905216665095,-70.73656441575721,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Conduite d'équipement de fabrication de papier ou de carton,H3101,-0.15162161383751402,3.70951638024727,-70.81202833943459,71,conducteur/ conductrice de machines à papier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Réalisation et montage en tuyauterie,H2914,-0.15162161383751402,2.585194056657,-54.3573837852079,77,soudeur / soudeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Soudage manuel,H2913,-0.15162161383751402,3.52264061792871,-52.544367362687105,77,soudeur / soudeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Réglage d'équipement de production industrielle,H2912,-0.15162161383751402,9.53256672595209,-46.335724219378,78,opérateur / opératrice sur machine à commande numérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Réalisation de structures métalliques,H2911,-0.15162161383751402,2.2158612741294,-52.1676839277488,77,serrurier-métallier / serrurière-métallière,charpentier / charpentière métallique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Maintenance électrique,I1309,-0.15162161383751402,7.723276550475861,-36.0756477400174,80,technicien électrotechnicien / technicienne électrotechnicienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Maintenance mécanique industrielle,I1310,-0.15162161383751402,-1.08541177421016,-48.669252945576496,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Maintenance informatique et bureautique,I1401,-0.15162161383751402,3.94896449408727,-38.040600493616,80,technicien / technicienne de maintenance en informatique,hot liner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Réparation de biens électrodomestiques,I1402,-0.15162161383751402,6.89074381875486,-36.079395449262,80,responsable du service après-vente,dépanneur / dépanneuse en électroménager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Orthoptique,J1407,-0.15162161383751402,-49.1185529232879,47.499285307273,82,orthoptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Orthophonie,J1406,-0.15162161383751402,-41.431378134693105,51.2430334762375,83,orthophoniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Optique - lunetterie,J1405,-0.15162161383751402,-51.62781395411861,45.2295688037683,82,opticien-lunetier / opticienne-lunetière,ingénieur opticien / ingénieure opticienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Kinésithérapie,J1404,-0.15162161383751402,-43.64359776617211,51.215472174796496,83,masseur / masseuse-kinésithérapeute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Ergothérapie,J1403,-0.15162161383751402,-41.5648738724266,48.298870443054106,83,ergothérapeute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Diététique,J1402,-0.15162161383751402,-42.5315388483238,52.4828386759372,83,diététicien / diététicienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Audioprothèses,J1401,-0.15162161383751402,-51.489734205416404,46.0510392586953,82,audioprothésiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Aide et médiation judiciaire,K1901,-0.15162161383751402,42.8749246181492,33.023077096803796,21,huissier / huissière de justice,notaire,collaborateur de notaire / collaboratrice de notaire,commissaire-priseur / priseuse,administrateur / administratrice judiciaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Imagerie médicale,J1306,-0.15162161383751402,-43.189744974144,33.7250660296304,86,manipulateur / manipulatrice en électroradiologie médicale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Conduite de véhicules sanitaires,J1305,-0.15162161383751402,-51.58745674000011,33.5740033877685,85,ambulancier / ambulancière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Aide en puériculture,J1304,-0.15162161383751402,-45.2986471807707,34.6083171945539,84,auxiliaire de puériculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Assistance médico-technique,J1303,-0.15162161383751402,-53.4806294646871,32.7269077934397,85,assistant / assistante dentaire,technicien réalisateur / technicienne réalisatrice radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Analyses médicales,J1302,-0.15162161383751402,-51.3826670382507,26.794548745630397,85,préparateur / préparatrice en pharmacie,technicien / technicienne d'analyses biomédicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Personnel polyvalent des services hospitaliers,J1301,-0.15162161383751402,-54.3789602052739,31.024210060318605,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Pharmacie,J1202,-0.15162161383751402,-51.0436346274018,29.4971248120507,85,pharmacien / pharmacienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Biologie médicale,J1201,-0.15162161383751402,-51.156243253303394,27.815332866356,85,attaché / attachée de recherche clinique (ARC),chercheur / chercheuse en biologie,chargé / chargée de pharmacovigilance,responsable de laboratoire de contrôle en biologie,chercheur / chercheuse en biologie du sport,neurobiologiste,responsable biométrie,anatomiste,biologiste médical / médicale,gestionnaire de données cliniques,généticien / généticienne,histologiste,ingénieur biomédical / ingénieure biomédicale,ingénieur / ingénieure d'application,ingénieur / ingénieure de recherche clinique et épidémiologique,ingénieur / ingénieure en imagerie médicale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Suivi de la grossesse et de l'accouchement,J1104,-0.15162161383751402,-44.93679557468921,37.264007571068,84,sage-femme / maïeuticien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Médecine dentaire,J1103,-0.15162161383751402,-49.0666620951017,45.041323275157396,82,chirurgien-dentiste / chirurgienne-dentiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Médecine généraliste et spécialisée,J1102,-0.15162161383751402,-42.6561315585319,53.932648508824606,83,médecin généraliste,médecin spécialiste,médecin humanitaire,anesthésiste-réanimateur / anesthésiste-réanimatrice,chirurgien / chirurgienne,pédiatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,"Réparation de cycles, motocycles et motoculteurs de loisirs",I1607,-0.15162161383751402,-23.051648249517797,-39.9801482636962,81,mécanicien / mécanicienne et technicien / technicienne moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Réparation de carrosserie,I1606,-0.15162161383751402,-22.5087226525479,-41.147860372421704,81,carrossier / carrossière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Mécanique de marine,I1605,-0.15162161383751402,-26.1007861911327,-37.239657049068796,81,mécanicien / mécanicienne bateaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Mécanique automobile et entretien de véhicules,I1604,-0.15162161383751402,-23.4917719834684,-39.1488417620264,81,technicien / technicienne automobile,expert / experte automobile,électronicien / électronicienne automobile,contrôleur / contrôleuse technique automobile,technicien / technicienne de maintenance industrielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,"Maintenance d'engins de chantier, levage, manutention et de machines agricoles",I1603,-0.15162161383751402,-24.0590037280962,-38.2323321871472,81,mécanicien-réparateur / mécanicienne-réparatrice en matériel agricole,technicien / technicienne en engins de travaux publics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Maintenance d'aéronefs,I1602,-0.15162161383751402,-6.11869809016281,-49.6883202989161,76,mécanicien / mécanicienne d'entretien d'avion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Installation et maintenance en nautisme,I1601,-0.15162161383751402,-25.7012593439856,-36.6052782886378,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Intervention en milieux et produits nocifs,I1503,-0.15162161383751402,-10.2384945425003,-50.4417764937068,76,technicien / technicienne nucléaire,chef de projet démantèlement nucléaire,chef de projet sites et sols pollués,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Intervention en milieu subaquatique,I1502,-0.15162161383751402,0.8849261441780799,5.563714003586661,47,soudeur / soudeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Intervention en grande hauteur,I1501,-0.15162161383751402,-61.2345711812746,-4.443642578284059,79,cordiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Préparation en pharmacie,J1307,-0.15162161383751402,-53.098786129835,31.6281520860552,85,préparateur / préparatrice en pharmacie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Management et inspection en propreté de locaux,K2203,-0.15162161383751402,5.92619713256829,11.642517145624499,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Défense et conseil juridique,K1903,-0.15162161383751402,43.3970142802038,32.68625010101061,21,avocat / avocate,juriste d'entreprise,juriste droit de l'environnement,juriste en droit social,juriste en propriété intellectuelle,fiscaliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Stratégie commerciale,M1707,-0.15162161383751402,15.1226146765571,15.0479591195894,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Affrètement transport,N1201,-0.15162161383751402,-3.7412502781750296,23.3064207409127,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Manutention manuelle de charges,N1105,-0.15162161383751402,-25.597371991276997,-18.6591011077158,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Manoeuvre et conduite d'engins lourds de manutention,N1104,-0.15162161383751402,-25.675540659668602,2.55914985482489,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Magasinage et préparation de commandes,N1103,-0.15162161383751402,-24.2015075969397,-10.2446129021346,95,magasinier / magasinière cariste,vendeur-magasinier / vendeuse-magasinière en fournitures automobiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Déménagement,N1102,-0.15162161383751402,-34.412881480281,-9.23685704275502,94,déménageur / déménageuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Conduite d'engins de déplacement des charges,N1101,-0.15162161383751402,-24.5427613325494,-8.400000151174611,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Production et exploitation de systèmes d'information,M1810,-0.15162161383751402,48.138620591708005,-0.223538606583822,96,gestionnaire de parc micro-informatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Études et développement informatique,M1805,-0.15162161383751402,47.3122225365086,1.2813244419443701,96,développeur / développeuse informatique,ingénieur / ingénieure système,cogniticien / cogniticienne,testeur / testeuse,ingénieur / ingénieure études et développement en logiciels de simulation,développeur / développeuse d'applications mobiles,chargé / chargée des méthodes outils et qualité en informatique,administrateur / administratrice de logiciels de laboratoire,ingénieur / ingénieure traitement de l'image,ingénieur / ingénieure logiciel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Études et développement de réseaux de télécoms,M1804,-0.15162161383751402,40.7722451866027,13.403751483227198,26,ingénieur / ingénieure télécoms et réseaux,architecte réseaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Direction des systèmes d'information,M1803,-0.15162161383751402,42.6843171437297,6.43482251969357,96,chef de projet informatique,chef de projet multimédia,architecte web,chef de projet web/mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Expertise et support en systèmes d'information,M1802,-0.15162161383751402,44.74672446166229,4.900532860277309,96,ingénieur / ingénieure système,architecte réseaux,cogniticien / cogniticienne,expert / experte en sécurité informatique,ingénieur / ingénieure systèmes embarqués,chargé / chargée des méthodes outils et qualité en informatique,gestionnaire de contrats informatiques,ingénieur / ingénieure cloud computing,architecte web,gestionnaire de données cliniques,ingénieur / ingénieure traitement de l'image,data manager,architecte des systèmes d'information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Administration de systèmes d'information,M1801,-0.15162161383751402,47.556380652815506,0.8127716335542869,96,administrateur / administratrice de base de données,administrateur / administratrice réseaux,cryptologue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Promotion des ventes,M1706,-0.15162161383751402,18.7960342025776,16.0556969029106,39,responsable de la promotion des ventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Conception et organisation de la chaîne logistique,N1301,-0.15162161383751402,36.104682787501105,-24.059920276493695,67,administrateur / administratrice de mission humanitaire,chef de mission humanitaire,responsable approvisionnement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Marketing,M1705,-0.15162161383751402,18.9277919859345,14.260552877241,39,chef / cheffe de produit marketing,collecteur / collectrice de fonds,chef de produit technique en informatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Management relation clientèle,M1704,-0.15162161383751402,19.200828513506,15.3742293310561,39,responsable e-CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Management et gestion de produit,M1703,-0.15162161383751402,32.6567930678655,10.4675985767954,60,chef de produit technique en informatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Administration des ventes,M1701,-0.15162161383751402,32.7780834568177,12.170799101366,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Secrétariat et assistanat médical ou médico-social,M1609,-0.15162161383751402,81.0785866221599,-7.829503261236969,25,secrétaire médical / médicale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Secrétariat comptable,M1608,-0.15162161383751402,76.59235567279809,-4.17921022140387,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Secrétariat,M1607,-0.15162161383751402,81.46970696333571,-7.09291747178364,25,secrétaire,adjoint administratif / adjointe administrative,attaché / attachée d'administration,rédacteur territorial / rédactrice territoriale,secrétaire administratif / administrative,secrétaire juridique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Distribution de documents,M1603,-0.15162161383751402,82.8891289523898,-6.448246924977,25,facteur / factrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Opérations administratives,M1602,-0.15162161383751402,78.601771937852,-4.726276781160291,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Management des ressources humaines,M1503,-0.15162161383751402,21.634259499180196,33.8325202278672,91,responsable des ressources humaines,responsable de rémunération,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Assistanat en ressources humaines,M1501,-0.15162161383751402,19.5437804955662,32.7582455214475,91,assistant / assistante en ressources humaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Management et gestion d'enquêtes,M1404,-0.15162161383751402,2.40951407537271,12.3012527204132,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Gestion des opérations de circulation internationale des marchandises,N1202,-0.15162161383751402,-3.92936712350555,23.637808516853298,97,agent / agente de transit,déclarant / déclarante en douane,consignataire de navire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Direction de site logistique,N1302,-0.15162161383751402,3.24574404165101,21.8136664264005,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Conseil en organisation et management d'entreprise,M1402,-0.15162161383751402,21.951555775415503,-3.2177509186523503,59,ergonome,consultant / consultante,agent / agente de développement des énergies renouvelables,ingénieur écoconcepteur / ingénieure écoconceptrice,consultant / consultante green IT,consultant / consultante en conduite de changement,consultant / consultante en management de l'innovation,auditeur / auditrice qualité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Conduite de transport de marchandises sur longue distance,N4101,-0.15162161383751402,-36.281158106521,-8.74178648171261,94,conducteur routier / conductrice routière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Exploitation et manoeuvre des remontées mécaniques,N4402,-0.15162161383751402,-35.133622000921505,6.76440650623698,100,électromécanicien / électromécanicienne en remontées mécaniques,chef / cheffe d'exploitation des remontées mécaniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Circulation du réseau ferré,N4401,-0.15162161383751402,-17.0859167235114,14.3124543219234,56,agent / agente de sûreté ferroviaire,agent / agente des méthodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Contrôle des transports en commun,N4302,-0.15162161383751402,-17.759274034056002,14.1637997545609,56,commercial / commerciale à bord des trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Conduite sur rails,N4301,-0.15162161383751402,-24.207201386701698,4.13987064216967,48,conducteur / conductrice de train / TGV,conducteur / conductrice de métro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Intervention technique d'exploitation des transports routiers de personnes,N4204,-0.15162161383751402,-3.28367271023521,18.852978324505898,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Intervention technique d'exploitation des transports routiers de marchandises,N4203,-0.15162161383751402,-2.84487199975738,19.7189537462811,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Direction d'exploitation des transports routiers de personnes,N4202,-0.15162161383751402,3.4649774605509704,19.578548319983998,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Direction d'exploitation des transports routiers de marchandises,N4201,-0.15162161383751402,2.96084646824826,20.3465087572181,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Conduite et livraison par tournées sur courte distance,N4105,-0.15162161383751402,-35.6844027562895,-8.909377043740859,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Courses et livraisons express,N4104,-0.15162161383751402,-15.741791503836902,29.3523506699121,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Conduite de transport en commun sur route,N4103,-0.15162161383751402,-33.8330211597729,6.689063924689321,100,conducteur / conductrice de bus ou d'autocar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Conduite de transport de particuliers,N4102,-0.15162161383751402,-33.3162902180989,6.66340926008008,100,chauffeur / chauffeuse de taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Manutention portuaire,N3203,-0.15162161383751402,-24.2137162030205,-7.476123169195301,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Intervention technique d'exploitation logistique,N1303,-0.15162161383751402,-8.975416689080241,15.1232279836974,99,logisticien / logisticienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Exploitation du transport fluvial,N3202,-0.15162161383751402,3.03745669668064,24.243381180442,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Exploitation des opérations portuaires et du transport maritime,N3201,-0.15162161383751402,2.15119447928406,24.294269387687997,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Navigation fluviale,N3103,-0.15162161383751402,-23.888702568597,-1.9836117849189,48,batelier / batelière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Equipage de la navigation maritime,N3102,-0.15162161383751402,-23.544160135264395,-2.5419848313145,48,matelot à la pêche,matelot de la marine marchande,matelot /matelote de la Marine Nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Encadrement de la navigation maritime,N3101,-0.15162161383751402,8.621454397430709,18.4523856543582,57,officier / officière de la marine marchande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Direction d'escale et exploitation aéroportuaire,N2205,-0.15162161383751402,1.4245435579938603,19.8600628200241,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Préparation des vols,N2204,-0.15162161383751402,-9.62003763477945,14.644656399575501,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Exploitation des pistes aéroportuaires,N2203,-0.15162161383751402,-22.031952646234004,-1.16913184872056,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Contrôle de la navigation aérienne,N2202,-0.15162161383751402,-10.7856055155162,13.6064891362322,99,contrôleur aérien / contrôleuse aérienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Personnel d'escale aéroportuaire,N2201,-0.15162161383751402,-17.8439778410541,12.8113175072749,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Pilotage et navigation technique aérienne,N2102,-0.15162161383751402,-21.6946478050739,0.38264738953972705,48,pilote de ligne,pilote d'hélicoptère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Navigation commerciale aérienne,N2101,-0.15162161383751402,-19.0823293300556,16.3943866473249,56,hôtesse de l'air / steward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Études et prospectives socio-économiques,M1403,-0.15162161383751402,66.85386092010239,28.57177584315,17,chargé / chargée d'études économiques,chargé / chargée d'études en marketing,statisticien / statisticienne,statisticien / statisticienne en analyse sensorielle,statisticien / statisticienne en géomarketing,statisticien industriel / statisticienne industrielle,économètre statisticien / statisticienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Conduite d'enquêtes,M1401,-0.15162161383751402,-16.5950806903405,48.0649658032734,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Magistrature,K1904,-0.15162161383751402,-17.9668020439283,47.3016758966213,89,magistrat / magistrate,substitut / substitute du procureur,juge des enfants,juge d'instance,juge d'instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Montage-assemblage mécanique,H2909,-0.15162161383751402,-5.4408277542353405,-39.3521002934439,74,microtechnicien / microtechnicienne,horloger / horlogère,chaudronnier / chaudronnière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
